domain,problem,config,rep,solved,cost,wall,search_time
barman-opt11-strips,pfile05-020.pddl,policy,2,0,,1800.214,
parking-opt14-strips,p_12_7-01.pddl,stock,2,0,,1799.894,
parking-opt14-strips,p_12_7-01.pddl,policy,2,1,18,1457.630,1452.78
parking-opt14-strips,p_12_7-02.pddl,stock,2,0,,1799.828,
parking-opt14-strips,p_12_7-02.pddl,policy,2,1,18,1455.198,1450.45
parking-opt14-strips,p_12_7-03.pddl,stock,2,0,,1799.951,
parking-opt14-strips,p_12_7-03.pddl,policy,2,1,17,943.391,939.451
parking-opt14-strips,p_12_7-04.pddl,stock,2,0,,1800.159,
parking-opt14-strips,p_12_7-04.pddl,policy,2,0,,1799.640,
parking-opt14-strips,p_14_8-01.pddl,stock,2,0,,1799.956,
parking-opt14-strips,p_14_8-01.pddl,policy,2,0,,1800.195,
parking-opt14-strips,p_14_8-02.pddl,stock,2,0,,1799.890,
parking-opt14-strips,p_14_8-02.pddl,policy,2,0,,1799.742,
parking-opt14-strips,p_14_8-03.pddl,stock,2,0,,1799.802,
parking-opt14-strips,p_14_8-03.pddl,policy,2,0,,1799.804,
parking-opt14-strips,p_14_8-04.pddl,stock,2,0,,1799.607,
parking-opt14-strips,p_14_8-04.pddl,policy,2,0,,1799.739,
parking-opt14-strips,p_16_9-01.pddl,stock,2,0,,1800.233,
parking-opt14-strips,p_16_9-01.pddl,policy,2,0,,1799.394,
parking-opt14-strips,p_16_9-02.pddl,stock,2,0,,1800.548,
parking-opt14-strips,p_16_9-02.pddl,policy,2,0,,1800.431,
parking-opt14-strips,p_16_9-03.pddl,stock,2,0,,1800.313,
parking-opt14-strips,p_16_9-03.pddl,policy,2,0,,1799.853,
parking-opt14-strips,p_16_9-04.pddl,stock,2,0,,1800.251,
parking-opt14-strips,p_16_9-04.pddl,policy,2,0,,1800.238,
parking-opt14-strips,p_18_10-01.pddl,stock,2,0,,1799.900,
parking-opt14-strips,p_18_10-01.pddl,policy,2,0,,1800.072,
parking-opt14-strips,p_18_10-02.pddl,stock,2,0,,1800.124,
parking-opt14-strips,p_18_10-02.pddl,policy,2,0,,1799.887,
parking-opt14-strips,p_18_10-03.pddl,stock,2,0,,1799.697,
parking-opt14-strips,p_18_10-03.pddl,policy,2,0,,1799.759,
parking-opt14-strips,p_18_10-04.pddl,stock,2,0,,1799.393,
parking-opt14-strips,p_18_10-04.pddl,policy,2,0,,1799.548,
parking-opt14-strips,p_20_11-01.pddl,stock,2,0,,1799.893,
parking-opt14-strips,p_20_11-01.pddl,policy,2,0,,1799.966,
parking-opt14-strips,p_20_11-02.pddl,stock,2,0,,1800.277,
parking-opt14-strips,p_20_11-02.pddl,policy,2,0,,1799.685,
parking-opt14-strips,p_20_11-03.pddl,stock,2,0,,1799.983,
parking-opt14-strips,p_20_11-03.pddl,policy,2,0,,1799.971,
parking-opt14-strips,p_20_11-04.pddl,stock,2,0,,1799.774,
parking-opt14-strips,p_20_11-04.pddl,policy,2,0,,1799.625,
tpp,p01.pddl,stock,2,1,5,0.518,0.000549321
tpp,p01.pddl,policy,2,1,5,0.468,0.000794532
tpp,p02.pddl,stock,2,1,8,0.518,0.00100028
tpp,p02.pddl,policy,2,1,8,0.518,0.00116536
tpp,p03.pddl,stock,2,1,11,0.619,0.00184858
tpp,p03.pddl,policy,2,1,11,0.618,0.00175694
tpp,p04.pddl,stock,2,1,14,0.518,0.00312725
tpp,p04.pddl,policy,2,1,14,0.518,0.00273048
tpp,p05.pddl,stock,2,1,19,0.669,0.0168843
tpp,p05.pddl,policy,2,1,19,0.669,0.0161076
tpp,p06.pddl,stock,2,1,25,0.870,0.20776
tpp,p06.pddl,policy,2,1,25,0.920,0.187196
tpp,p07.pddl,stock,2,1,34,1.221,0.562362
tpp,p07.pddl,policy,2,1,34,1.070,0.439493
tpp,p08.pddl,stock,2,1,40,2.126,1.42094
tpp,p08.pddl,policy,2,1,40,1.321,0.627053
tpp,p09.pddl,stock,2,0,,1799.345,
tpp,p09.pddl,policy,2,1,48,921.689,920.807
tpp,p10.pddl,stock,2,0,,1799.342,
tpp,p10.pddl,policy,2,0,,1799.355,
tpp,p11.pddl,stock,2,0,,1799.398,
tpp,p11.pddl,policy,2,0,,1799.404,
tpp,p12.pddl,stock,2,0,,1799.459,
tpp,p12.pddl,policy,2,0,,1799.424,
tpp,p13.pddl,stock,2,0,,1799.698,
tpp,p13.pddl,policy,2,0,,1799.585,
tpp,p14.pddl,stock,2,0,,1799.740,
tpp,p14.pddl,policy,2,0,,1799.586,
tpp,p15.pddl,stock,2,0,,1799.670,
tpp,p15.pddl,policy,2,0,,1799.797,
tpp,p16.pddl,stock,2,0,,1664.603,
tpp,p16.pddl,policy,2,0,,1800.013,
tpp,p17.pddl,stock,2,0,,1800.482,
tpp,p17.pddl,policy,2,0,,1800.350,
tpp,p18.pddl,stock,2,0,,1563.183,
tpp,p18.pddl,policy,2,0,,1799.338,
tpp,p19.pddl,stock,2,0,,1607.556,
tpp,p19.pddl,policy,2,0,,1799.529,
tpp,p20.pddl,stock,2,0,,1799.773,
tpp,p20.pddl,policy,2,0,,1401.635,
tpp,p21.pddl,stock,2,0,,1799.630,
tpp,p21.pddl,policy,2,0,,1544.590,
tpp,p22.pddl,stock,2,0,,1034.369,
tpp,p22.pddl,policy,2,0,,1596.880,
tpp,p23.pddl,stock,2,0,,1288.806,
tpp,p23.pddl,policy,2,0,,1608.549,
tpp,p24.pddl,stock,2,0,,1766.279,
tpp,p24.pddl,policy,2,0,,948.027,
tpp,p25.pddl,stock,2,0,,1134.189,
tpp,p25.pddl,policy,2,0,,1696.156,
tpp,p26.pddl,stock,2,0,,1606.485,
tpp,p26.pddl,policy,2,0,,1440.863,
tpp,p27.pddl,stock,2,0,,1580.334,
tpp,p27.pddl,policy,2,0,,1265.913,
tpp,p28.pddl,stock,2,0,,1021.360,
tpp,p28.pddl,policy,2,0,,1539.069,
tpp,p29.pddl,stock,2,0,,657.234,
tpp,p29.pddl,policy,2,0,,1182.922,
tpp,p30.pddl,stock,2,0,,1799.582,
tpp,p30.pddl,policy,2,0,,1581.481,
woodworking-opt08-strips,p01.pddl,stock,2,1,170,0.517,0.00940482
woodworking-opt08-strips,p01.pddl,policy,2,1,170,0.517,0.0116486
woodworking-opt08-strips,p02.pddl,stock,2,1,185,0.467,0.0201245
woodworking-opt08-strips,p02.pddl,policy,2,1,185,0.517,0.0194644
woodworking-opt08-strips,p03.pddl,stock,2,1,275,0.820,0.182843
woodworking-opt08-strips,p03.pddl,policy,2,1,275,0.769,0.124005
woodworking-opt08-strips,p04.pddl,stock,2,1,280,1.221,0.570909
woodworking-opt08-strips,p04.pddl,policy,2,1,280,1.071,0.422736
woodworking-opt08-strips,p05.pddl,stock,2,1,270,2.430,1.59172
woodworking-opt08-strips,p05.pddl,policy,2,1,270,2.078,1.27899
woodworking-opt08-strips,p06.pddl,stock,2,1,430,7.957,7.18986
woodworking-opt08-strips,p06.pddl,policy,2,1,430,6.001,5.22291
woodworking-opt08-strips,p07.pddl,stock,2,1,400,85.478,84.4322
woodworking-opt08-strips,p07.pddl,policy,2,1,400,7.510,6.56114
woodworking-opt08-strips,p08.pddl,stock,2,1,430,149.196,147.82
woodworking-opt08-strips,p08.pddl,policy,2,1,430,52.791,51.6288
woodworking-opt08-strips,p09.pddl,stock,2,1,445,5.095,4.15373
woodworking-opt08-strips,p09.pddl,policy,2,1,445,5.701,4.77687
woodworking-opt08-strips,p10.pddl,stock,2,0,,1799.695,
woodworking-opt08-strips,p10.pddl,policy,2,0,,1799.737,
woodworking-opt08-strips,p11.pddl,stock,2,1,130,0.518,0.00659066
woodworking-opt08-strips,p11.pddl,policy,2,1,130,0.518,0.00663803
woodworking-opt08-strips,p12.pddl,stock,2,1,225,0.669,0.0510001
woodworking-opt08-strips,p12.pddl,policy,2,1,225,0.618,0.0398683
woodworking-opt08-strips,p13.pddl,stock,2,1,215,0.820,0.189915
woodworking-opt08-strips,p13.pddl,policy,2,1,215,0.820,0.176744
woodworking-opt08-strips,p14.pddl,stock,2,1,225,0.819,0.226963
woodworking-opt08-strips,p14.pddl,policy,2,1,225,0.819,0.186698
woodworking-opt08-strips,p15.pddl,stock,2,1,270,2.934,2.1714
woodworking-opt08-strips,p15.pddl,policy,2,1,270,1.525,0.792427
woodworking-opt08-strips,p16.pddl,stock,2,1,315,1.976,1.17848
woodworking-opt08-strips,p16.pddl,policy,2,1,315,2.028,1.23919
